#750mm total, wall to square start
# Quinoa fill
#25mm diam
#190mm total
#9.79 deg
#%fill	time
0	1.45
0	1.40
0	1.42
0	1.48
.157	1.69
.157	1.82
.157	1.65
.157	1.70
.157	1.73
.38	1.53
.38	1.99
.38	1.98
.38	1.88
.38	2.06
.38	1.80
.642	1.74
.642	1.63
.642	1.67
.642	1.72
.642	1.71
0.868	1.51
0.868	1.40
0.868	1.41
0.868	1.40
1.00	1.38
1.00	1.38
1.00	1.38
1.00	1.20
1.00	1.31
.947	1.41
.947	1.28
.947	1.31
.947	1.30



#13mm diam
#95mm total
0	1.58
0	1.46
0	1.43
0	1.44
0.126	1.46
0.126	1.46
0.126	1.57
0.126	1.42
0.126	1.54
0.295	1.58
0.295	1.59
0.295	1.70
0.295	1.56
0.968	1.35
0.968	1.38
0.968	1.43
0.716	1.53
0.716	1.46
0.716	1.66
0.484	1.49
0.484	1.67
0.484	1.55
0.484	1.56



## Still 750mm start to stop
## 4.43 deg
#13mm diam
#95mm total




# Quinoa fill
## 4.43 deg
#25mm diam
#188mm total
0	2.05
0	2.23
188	2.21
188	2.09
175	2.38
175	2.31
15	2.76
15	3.03
168	2.48
168	2.64
20	3.08
20	3.54
20	3.64
29	4.55
29	4.80
160	2.73
160	2.65
40	8.65
40	inf
155	3.16
155	3.25
45	inf
145	3.53
145	3.68
60	inf
132	5.15
132	5.51
68	inf
75	inf
120	7.75
120	8.02
114	9.56
114	10.67
111	12.80
111	11.70
82	inf
107	inf
86 	inf



#5.69deg
#full is really 188
60	5.24
60	5.37
130	3.18
56	6.08
56	6.51
134	3.17
134	3.36
54	4.53
54	4.76
62	5.25
62	5.95
68	5.18
68	5.01
47	4.23
47	4.25
145	2.68
145	2.78
154	2.45
154	2.48
37	3.45
37	3.88
27	2.66
27	2.98
161	2.16
161	2.21
19	2.36
19	2.40
170	2.12
170	2.05
10	2.13
10	2.18
178	2.02
178	1.91
185	1.88
185	1.85
107	4.87
107	4.73
83	6.10
83	6.29
96	5.64
96	5.54
105	4.60
105	4.98
114	4.18
114	4.31
81	6.21
81	6.07

